net,length_um
_18520_,119.495
_17385_,119.37
_09837_,119.3
_18468_,119.12
_03727_,119.085
_10741_,119
_18465_,118.99
_18235_,118.92
_09445_,118.86
_16975_,118.83
_17148_,118.76
_09750_,118.55
_13502_,118.31
_00048_,118.22
_18042_,118.14
_02535_,118.105
_01375_,118
_17195_,117.99
_09913_,117.8
_10118_,117.71
_10129_,117.7
_17303_,117.54
_17137_,117.365
_18476_,117.28
clknet_leaf_22_clk,117.22
_16983_,117.16
_18517_,116.905
_17428_,116.89
data_reg\[25\]\[2\],116.88
_18152_,116.75
_02589_,116.64
_17244_,116.6
_06207_,116.5
_11752_,116.4
_08638_,116.24
_08577_,116.12
_01006_,115.96
_01040_,115.92
_09263_,115.82
_17281_,115.8
_06476_,115.54
_01472_,115.49
_03726_,115.48
_15305_,115.165
_00787_,115.14
_04464_,115.02
_16472_,114.925
_15548_,114.855
data_reg\[17\]\[3\],114.64
data_reg\[3\]\[4\],114.56
_10009_,114.24
_08381_,114.22
_00040_,114.16
_06737_,114.15
_09651_,114.09
data_reg\[26\]\[1\],114.06
_01473_,113.9
_05468_,113.84
_01177_,113.82
_03119_,113.66
_14948_,113.66
_10422_,113.57
_00065_,113.565
_00563_,113.5
_04608_,113.44
_09836_,113.38
_06547_,113.18
_00542_,113.17
_12085_,113.1
_03254_,113
_17222_,112.995
_00059_,112.84
_08834_,112.78
_11761_,112.75
data_reg\[27\]\[0\],112.65
_00047_,112.54
_18526_,112.52
data_reg\[5\]\[5\],112.44
_11683_,112.28
net309,112.04
_00752_,111.94
data_reg\[22\]\[2\],111.76
_09759_,111.73
_05331_,111.65
_12205_,111.6
data_reg\[22\]\[0\],111.58
_17841_,111.41
_02155_,111.38
_00043_,111.365
_08591_,111.32
_00451_,111.29
net97,111.02
_17857_,110.97
_09338_,110.94
data_reg\[26\]\[5\],110.86
_11745_,110.8
_17798_,110.75
_00551_,110.63
_00056_,110.515
_17196_,110.5
_12618_,110.32
_02635_,110.16
_00068_,110.095
_11089_,110.035
_00098_,109.845
_10075_,109.82
_11485_,109.56
_17317_,109.49
_02276_,109.36
_17535_,109.32
_08203_,109.3
_09739_,109.24
data_reg\[27\]\[4\],109.225
_00046_,109.105
_17310_,109.1
_04179_,108.9
_01072_,108.825
pulse_duration\[0\],108.77
_17467_,108.74
_17082_,108.7
_18519_,108.65
_16917_,108.62
_01353_,108.47
_00940_,108.365
clknet_leaf_23_clk,108.13
_08573_,108.12
net314,108.1
_11689_,108.06
_16411_,108
_03201_,107.96
_07466_,107.86
_16882_,107.75
_01702_,107.7
clknet_leaf_34_clk,107.64
_10189_,107.62
_09887_,107.58
_01753_,107.57
_10160_,107.52
net19,107.28
_08865_,107.24
_00463_,107.08
_11684_,106.96
_08760_,106.84
_12148_,106.65
_09943_,106.62
_08910_,106.6
_08848_,106.48
_16949_,106.38
_08558_,106.33
_13786_,106.12
u_gain3\[17\],106.105
_16442_,105.84
_10710_,105.8
_08390_,105.78
_17316_,105.64
_10456_,105.62
_10060_,105.3
_09834_,105.28
_17501_,105.16
clknet_leaf_15_clk,105.155
_00935_,105.1
_07120_,105.1
_06367_,105.04
_16881_,104.99
_00003_,104.94
_01644_,104.92
data_reg\[26\]\[7\],104.875
_00947_,104.84
_09468_,104.65
_18094_,104.46
_11633_,104.44
_01595_,104.2
_14148_,104.08
_17776_,104
_17397_,103.96
_08571_,103.76
_18475_,103.73
_18041_,103.7
_01672_,103.56
_01057_,103.52
_01386_,103.42
_11062_,103.28
_09688_,102.98
_17373_,102.9
address\[0\],102.68
_06551_,102.64
_03721_,102.565
